year,avg_temp (Global),avg_temp (India),avg_temp(Bangalore)
1750,8.72,,
1751,7.98,,
1752,5.78,,
1753,8.39,,
1754,8.47,,
1755,8.36,,
1756,8.85,,
1757,9.02,,
1758,6.74,,
1759,7.99,,
1760,7.19,,
1761,8.77,,
1762,8.61,,
1763,7.5,,
1764,8.4,,
1765,8.25,,
1766,8.41,,
1767,8.22,,
1768,6.78,,
1769,7.69,,
1770,7.69,,
1771,7.85,,
1772,8.19,,
1773,8.22,,
1774,8.77,,
1775,9.18,,
1776,8.3,,
1777,8.26,,
1778,8.54,,
1779,8.98,,
1780,9.43,,
1781,8.1,,
1782,7.9,,
1783,7.68,,
1784,7.86,,
1785,7.36,,
1786,8.26,,
1787,8.03,,
1788,8.45,,
1789,8.33,,
1790,7.98,,
1791,8.23,,
1792,8.09,,
1793,8.23,,
1794,8.53,,
1795,8.35,,
1796,8.27,25.27,24.49
1797,8.51,26.53,25.18
1798,8.67,24.69,24.65
1799,8.51,25.55,24.81
1800,8.48,25.51,24.85
1801,8.59,24.59,24.49
1802,8.58,25.97,25.44
1803,8.5,25.73,25.22
1804,8.84,26.07,25.67
1805,8.56,25.62,25.01
1806,8.43,25.52,24.87
1807,8.28,25,24.25
1808,7.63,,
1809,7.08,,
1810,6.92,,
1811,6.86,,
1812,7.05,,
1813,7.74,24.86,24.23
1814,7.59,24.16,23.91
1815,7.24,24.4,23.79
1816,6.94,24.02,23.3
1817,6.98,24,23.6
1818,7.83,24.38,23.94
1819,7.37,24.05,23.86
1820,7.62,24.35,23.91
1821,8.09,24.94,24.4
1822,8.19,25.03,24.33
1823,7.72,24.94,24.62
1824,8.55,25.64,25.1
1825,8.39,25.39,24.69
1826,8.36,25.45,24.88
1827,8.81,25.56,24.67
1828,8.17,25.22,24.61
1829,7.94,25.03,24.46
1830,8.52,25.27,24.39
1831,7.64,24.83,24.43
1832,7.45,25.04,24.66
1833,8.01,24.97,24.46
1834,8.15,24.94,24.59
1835,7.39,24.05,23.89
1836,7.7,24.61,24.12
1837,7.38,24.67,24.13
1838,7.51,24.97,24.29
1839,7.63,24.85,24.24
1840,7.8,24.85,24.24
1841,7.69,24.72,24.05
1842,8.02,24.96,24.22
1843,8.17,24.75,23.99
1844,7.65,24.49,24.23
1845,7.85,24.75,24.46
1846,8.55,25.19,24.9
1847,8.09,24.7,24.35
1848,7.98,24.64,24.35
1849,7.98,24.63,24.32
1850,7.9,24.92,24.38
1851,8.18,24.88,24.45
1852,8.1,24.79,24.43
1853,8.04,25.06,24.67
1854,8.21,25.17,24.73
1855,8.11,25.26,24.75
1856,8,24.27,24.21
1857,7.76,24.01,23.87
1858,8.1,25.18,24.59
1859,8.25,25.24,24.55
1860,7.96,25,24.41
1861,7.85,24.89,24.21
1862,7.56,21.45,23.59
1863,8.11,25.72,
1864,7.98,25.54,
1865,8.18,25.84,25.06
1866,8.29,24.92,25
1867,8.44,25.24,24.96
1868,8.25,25.27,25.07
1869,8.43,25.33,24.92
1870,8.2,24.97,24.42
1871,8.12,25.02,24.47
1872,8.19,25.03,24.48
1873,8.35,25.12,24.51
1874,8.43,24.91,24.56
1875,7.86,25.26,24.64
1876,8.08,25.16,24.84
1877,8.54,25.33,25.23
1878,8.83,25.53,25.15
1879,8.17,24.97,24.39
1880,8.12,25.34,24.58
1881,8.27,25.09,24.76
1882,8.13,24.98,24.33
1883,7.98,24.76,24.25
1884,7.77,24.65,24.35
1885,7.92,24.75,24.62
1886,7.95,25.06,24.53
1887,7.91,24.83,24.31
1888,8.09,25.08,24.63
1889,8.32,25.37,24.73
1890,7.97,25.12,24.46
1891,8.02,24.96,24.95
1892,8.07,25.48,24.59
1893,8.06,24.18,24.38
1894,8.16,25.05,24.75
1895,8.15,25.23,24.78
1896,8.21,25.9,25.12
1897,8.29,25.62,25.3
1898,8.18,25.53,24.87
1899,8.4,25.69,24.74
1900,8.5,25.75,25.44
1901,8.54,25.5,25.09
1902,8.3,25.82,25.06
1903,8.22,25.2,24.82
1904,8.09,25.2,24.53
1905,8.23,24.91,24.92
1906,8.38,25.25,25.09
1907,7.95,25.12,24.74
1908,8.19,25.17,24.66
1909,8.18,24.99,24.61
1910,8.22,24.94,24.42
1911,8.18,25.37,24.76
1912,8.17,25.45,25
1913,8.3,25.1,25
1914,8.59,25.27,25.02
1915,8.59,25.73,25.22
1916,8.23,25.22,24.75
1917,8.02,24.34,24.46
1918,8.13,25.25,24.74
1919,8.38,25.15,25.06
1920,8.36,25.36,24.99
1921,8.57,25.83,24.88
1922,8.41,25.27,24.74
1923,8.42,25.35,24.84
1924,8.51,25.42,24.89
1925,8.53,25.09,24.69
1926,8.73,25.18,25.14
1927,8.52,25.1,25.06
1928,8.63,25.59,25.06
1929,8.24,25.45,24.87
1930,8.63,25.29,24.86
1931,8.72,25.7,25.24
1932,8.71,25.6,24.68
1933,8.34,24.9,24.61
1934,8.63,25.16,24.81
1935,8.52,25.11,24.93
1936,8.55,25.15,24.99
1937,8.7,25.03,24.96
1938,8.86,25.31,24.91
1939,8.76,25.38,24.84
1940,8.76,25.28,24.92
1941,8.77,26.15,25.55
1942,8.73,25.57,25.23
1943,8.76,25.36,24.69
1944,8.85,25.22,24.92
1945,8.58,24.97,25.05
1946,8.68,25.52,24.97
1947,8.8,25.7,25.02
1948,8.75,25.65,25.21
1949,8.59,25.56,24.92
1950,8.37,24.99,24.85
1951,8.63,25.68,25.03
1952,8.64,25.83,25.12
1953,8.87,26.03,25.18
1954,8.56,25.61,24.92
1955,8.63,25.37,24.78
1956,8.28,25.28,24.73
1957,8.73,25.38,25.11
1958,8.77,26.13,25.29
1959,8.73,25.67,25.24
1960,8.58,25.67,25.07
1961,8.8,25.15,24.97
1962,8.75,25.31,24.9
1963,8.86,25.54,25.04
1964,8.41,25.4,25.09
1965,8.53,25.54,25.04
1966,8.6,25.88,25.32
1967,8.7,25.39,24.87
1968,8.52,25.24,25
1969,8.6,25.95,25.36
1970,8.7,25.48,24.95
1971,8.6,24.96,24.74
1972,8.5,25.65,25.22
1973,8.95,25.71,25.4
1974,8.47,25.62,24.94
1975,8.74,25.24,24.86
1976,8.35,25.62,25.13
1977,8.85,25.73,25.2
1978,8.69,25.38,25.07
1979,8.73,25.94,25.44
1980,8.98,26,25.45
1981,9.17,25.62,25.17
1982,8.64,25.57,25.42
1983,9.03,25.18,25.59
1984,8.69,25.52,25.08
1985,8.66,25.91,25.31
1986,8.83,25.65,25.51
1987,8.99,26.33,25.81
1988,9.2,26.18,25.5
1989,8.92,25.56,25.2
1990,9.23,25.6,25.25
1991,9.18,25.75,25.49
1992,8.84,25.72,25.16
1993,8.87,25.92,25.22
1994,9.04,25.72,25.22
1995,9.35,25.9,25.44
1996,9.04,25.84,25.41
1997,9.2,25.35,25.68
1998,9.52,26.13,26.01
1999,9.29,26.1,25.29
2000,9.2,25.99,25.34
2001,9.41,25.96,25.53
2002,9.57,26.46,25.76
2003,9.53,26.05,25.92
2004,9.32,26.16,25.25
2005,9.7,25.9,25.48
2006,9.53,26.2,25.42
2007,9.73,26.08,25.46
2008,9.43,25.77,25.35
2009,9.51,26.61,25.73
2010,9.7,26.58,25.71
2011,9.52,25.8,25.36
2012,9.51,26.02,26.04
2013,9.61,26.75,26.61
2014,9.57,,
2015,9.83,,
